菜名,工艺,口味,时间,难度,主料,辅料
核桃鸡丁炒饭,炒,家常味,30分钟,初级入门,"['大米 1碗', '鸡肉 2条', '核桃 30克']","['大葱 5克', '淀粉 10克', '花生油 适量', '料酒 10毫升', '盐 少许', '生姜 少许']"
西芹百合,炒,家常味,10分钟,未知,"['芹菜 200克', '百合 2只']","['大葱 15克', '生姜 5克', '胡椒 少许', '盐 适量', '文蛤 少许']"
白泡菜炒鸡蛋,炒,家常味,15分钟,新手尝试,"['泡菜 100克', '鸡蛋 100克']",['大葱 3g']
腐竹蚝油焖鸭,焖,家常味,60分钟,初级入门,"['鸭肉 1000克', '腐竹 250克', '生姜 10克', '大葱 5克', '亚麻籽油 50克']","['蚝油 20克', '酱油 15克', '胡椒 2克', '白糖 1克', '盐 2克']"
鲍鱼干贝XO酱凉拌鲜蔬,拌,酸辣味,15分钟,未知,"['黑木耳 10克', '黑木耳 10克', '海带 50克', '粉条 30克', '豆腐皮 30克', '紫甘蓝 20克', '莲藕 20克']","['芝麻酱 20克', '香菜 2根', '盐 3克', '白糖 5克', '酱油 5克', '蚝油 5克', '米醋 5克', '亚麻籽油 3克', '大葱 1根', '大蒜 3瓣']"
白糖醋猪肉,炸,酸甜味,30分钟,未知,['猪肉 150克'],"['胡椒粉 少许', '鸡蛋 少许', '白糖 少许', '芝麻 少许', '生姜 适量', '大葱 适量', '料酒 1勺', '醋 1勺', '番茄酱 4勺', '淀粉 2勺', '盐 1小勺']"
炒花生（面包机）,炒,家常味,60分钟,初级入门,['花生 500克'],['盐 少许']
香辣水煮鱼,煮,香辣味,30分钟,未知,"['龙利鱼 1条', '莴笋 1根', '花椒 20克', '干辣椒 10个', '大蒜 3瓣', '生姜 3片']","['盐 1茶匙', '料酒 1勺', '鸡精 1勺']"
红烧黄鱼,烧,咸鲜味,30分钟,未知,['黄鱼 1条'],"['花生油 适量', '盐 适量', '胡椒粉 少许', '料酒 2勺', '酱油 1勺', '大葱 适量', '淀粉 2勺']"
辣椒香菇酿肉,煎,香辣味,15分钟,新手尝试,"['辣椒 5个', '猪肉 250克', '香菇 4个', '胡萝卜 30克', '生姜 3克', '大蒜 2瓣', '大葱 2克']","['酱油 2茶匙', '料酒 1汤匙', '醋 1茶匙', '蚝油 1茶匙', '白糖 半茶匙', '淀粉 半茶匙', '盐 1克', '水 50毫升']"
醋鸭胸色拉,拌,咸鲜味,5分钟,新手尝试,"['鸭肉 1袋', '生菜 1颗', '西红柿 3个', '白萝卜 1根', '黄瓜 1根', '香菜 适量', '奶酪 1袋']",['醋 1勺']
青田蛋面,煮,家常味,10分钟,初级入门,"['鸡蛋 1个', '茭白 1根', '猪肉 1小块', '鸡腿菇 1根', '芹菜 1根']","['酱油 1小勺', '辣椒 1个', '盐 2小勺', '淀粉 200克', '水 190克']"
茄汁豆腐,烧,家常味,30分钟,初中水平,"['豆腐 420克', '西红柿 100克']","['花生油 15克', '盐 1.5克', '酱油 3克', '水 200毫升', '大葱 2根']"
麻辣牛肉干,炒,麻辣味,60分钟,初级入门,"['牛肉 1000克', '大葱 半个']","['大葱 1根', '生姜 15克', '辣椒 10个', '花椒 5克', '孜然 5克', '八角 3个', '辣椒粉 15克', '芝麻 15克', '酱油 1匙', '亚麻籽油 1匙', '料酒 2匙', '白糖 1匙', '五香粉 1匙', '花椒 1匙']"
蛋炒饭,炒,家常味,5分钟,新手尝试,"['大米 100克', '鸡蛋 2个', '鳕鱼 1根', '香肠 1根', '胡萝卜 几片']","['花生油 5克', '盐 3克', '大葱 1截']"
金玉满堂,炒,咸鲜味,5分钟,新手尝试,"['辣椒 70克', '红椒 70克', '胡萝卜 50克', '玉米 70克', '虾仁 70克', '豌豆 70克']","['鸡精 2克', '盐 适量', '花生油 适量']"
竹笋鸡球,炒,家常味,10分钟,新手尝试,"['竹笋 150g', '鸡腿 200g', '辣椒 5g']","['酱油 2茶匙', '胡椒粉 1/2茶匙', '料酒 1茶匙', '花生油 少许']"
百合炒南瓜,炒,咸鲜味,10分钟,未知,"['南瓜 400克', '百合 1头', '大蒜 2瓣']","['花生油 5克', '盐 3克', '蚝油 5毫升']"
天妇罗南瓜,炸,甜味,15分钟,未知,['南瓜 300克'],"['盐 1克', '花生油 300毫升', '豆瓣酱 适量']"
烧烤风味生煎包,煎,家常味,30分钟,初级入门,"['水 130毫升', '盐 2克', '小麦面粉 250克', '苏打粉 3克']","['猪肉 200克', '青椒 150克', '大蒜 2瓣', '大葱 1根', '淀粉 10克', '蚝油 适量', '孜然 适量', '鸡精 适量', '花生油 适量', '盐 适量']"
香酥肉饼,煎,家常味,30分钟,初级入门,"['小麦面粉 500克', '猪肉 500克', '大葱 1根']","['盐 适量', '五香粉 10克', '鸡精 10克', '胡椒粉 10克', '蚝油 10克', '猪油 适量']"
荷兰豆炒肉片香肠,炒,家常味,10分钟,新手尝试,"['荷兰豆 1盒', '香肠 2根', '猪肉 100克']","['花生油 适量', '盐 适量', '鸡精 适量', '大蒜 适量', '酱油 适量']"
酒蒸蛤蜊,蒸,咸鲜味,30分钟,初级入门,"['蛤蜊 500克', '粉丝 1把']","['水 2块', '金针菇 100克', '生姜 少许', '大葱 少许']"
煎带鱼,煎,咸鲜味,60分钟,未知,['带鱼 1根'],"['盐 1匙', '花椒 1匙', '胡椒粉 1匙', '五香粉 1/3匙', '料酒 1勺', '淀粉 35克', '花生油 3勺']"
咖喱牛腩饭,炖,咖喱味,2小时,初级入门,"['牛腩 300克', '土豆 300克', '胡萝卜 200克', '咖喱 100克', '牛奶 100克', '黄油 50克']","['大葱 30克', '生姜 20克', '料酒 20克', '酱油 30克', '奶酪 20克', '盐 适量']"
懒人版排骨焖饭,焖,咸鲜味,60分钟,初级入门,"['排骨 379克', '胡萝卜 105克', '土豆 251克', '大米 四杯', '莴笋 98']","['大葱 67克', '白糖 两勺', '花生油 适量', '大葱 少许', '盐 一勺', '酱油 一勺', '八角 一粒', '香叶 一片', '生姜 适量', '料酒 两勺', '桂皮 适量']"
超级好吃的凉拌黄瓜,拌,家常味,10分钟,未知,['黄瓜 3根'],"['大蒜 适量', '辣椒 适量', '酱油 2勺', '醋 2勺', '盐 1勺', '白糖 1勺']"
白糖醋排骨,烧,酸甜味,60分钟,初中水平,['排骨 500克'],"['冰糖 40克', '醋 40克', '生姜 3片', '料酒 1汤匙', '盐 3克', '芝麻 适量', '花生油 1汤匙']"
拌牛肉,拌,家常味,60分钟,新手尝试,"['牛肉 1000克', '生姜 3片', '辣椒 1个', '八角 1个', '香菜 1小棵']","['大蒜 4粒', '白糖 5克', '酱油 15毫升', '亚麻籽油 10毫升', '醋 5毫升', '辣椒油 适量', '芝麻 适量']"
香辣鸡爪,炒,香辣味,30分钟,未知,['鸡爪 350克'],['紫苏 10片']
椰子鸡，清甜美味又暖胃,煮,家常味,10分钟,未知,['鸡肉 一只'],"['椰子 2瓶', '红枣 5颗', '枸杞子 少许']"
宫保鸡丁,炒,咸鲜味,30分钟,初级入门,"['鸡肉 适量', '黄瓜 适量', '花生 适量']","['生姜 适量', '盐 适量', '料酒 适量', '淀粉 适量', '酱油 1勺', '醋 1勺', '酱油 1勺', '白糖 1勺', '干辣椒 适量', '大蒜 适量']"
五珍粉锅包肉怎么做最好吃又健康？多加这,炸,酸甜味,15分钟,新手尝试,"['猪肉 适量', '淀粉 适量', '鸡蛋 1个']","['大葱 适量', '生姜 适量', '香菜 适量', '胡萝卜 适量', '花生油 适量', '盐 适量', '白糖 适量', '醋 适量', '酱油 适量']"
鸡肉韭菜饺子,煎,咸鲜味,2小时,未知,"['小麦面粉 1000克', '水 400克']","['酱油 各5克', '亚麻籽油 10克', '淀粉 1汤勺', '韭菜 500克', '盐 3克', '猪油 10克', '豆腐干 100克', '鸡肉 100克', '胡椒粉 1克', '味精 1克', '蚝油 5克']"
霸王超市| 东北酱骨头（加了鸡的酱骨头）,焖,咸鲜味,60分钟,初中水平,"['猪骨 1000克', '田鸡 200克']","['盐 1勺', '酱油 12克', '砂仁 1个', '八角 1个', '生姜 15克', '花椒 1克', '干辣椒 3个', '大葱 20克', '桂皮 1块']"
椒香鸡翅,煎,椒麻味,15分钟,初级入门,"['鸡翅 500克', '辣椒 4个', '辣椒 8个']","['酱油 1大勺', '白糖 1小勺', '料酒 1大勺', '盐 1/4小勺', '花生油 1小勺', '生姜 适量', '花椒 适量']"
只需要三种调料，就能吃到香香滴烤肉！,烤,甜味,数天,未知,"['鸡腿 2只', '大葱 半个']","['猪肉 1袋', '蜂蜜 1大勺']"
家庭自制蔬菜三色凉粉，健康又好看,煮,家常味,10分钟,新手尝试,"['豌豆 200克', '水 1200毫升', '粉条 8克']",[]
凉拌山药,拌,家常味,10分钟,新手尝试,"['山药 1根', '胡萝卜 1根', '花椒 1个']","['大蒜 4瓣', '花生油 2勺', '酱油 半勺', '醋 1勺', '白糖 1勺', '盐 1小勺']"
猪肉丸,煮,家常味,60分钟,未知,"['猪肉 250克', '白糖 5克', '盐 5克', '淀粉 10克', '水 80克']",['大蒜 少许']
大葱炒鸡肉,炒,咸鲜味,15分钟,新手尝试,"['鸡腿 500克', '大蒜 50克', '大葱 100克']","['花生油 50毫升', '酱油 1汤匙', '盐 少许', '辣椒酱 少许', '粉条 1汤匙']"
鸡蛋豆腐蒸虾仁,蒸,咸鲜味,15分钟,新手尝试,"['虾仁 7个', '鸡蛋 2个', '豆腐 2个', '料酒 2勺', '酱油 2勺']",['大葱 1根']
黄花菜烧猪肉,炖,咸鲜味,15分钟,初级入门,"['花菜 适量', '猪肉 300克']","['冰糖 25克', '酱油 3勺', '酱油 1勺', '生姜 三片', '盐 半勺', '花生油 适量']"
红烧羊排,烧,家常味,15分钟,新手尝试,['羊排 500克'],"['芹菜 适量', '大葱 适量', '桂皮 一勺', '八角 适量', '孜然 一勺', '冰糖 一勺', '酱油 半勺', '胡萝卜 一勺', '酱油 三勺']"
牛奶麻辣烫,煮,咸鲜味,60分钟,未知,"['牛奶 250毫升', '金针菇 少许', '小麦面粉 适量', '香菇 4个', '黑木耳 少许', '蟹味菇 少许']","['大葱 少许', '豆瓣酱 少许', '芝麻酱 适量', '酱油 少许', '醋 少许', '白糖 少许', '盐 少许', '香菜 少许']"
白糖拌西红柿,拌,甜味,5分钟,新手尝试,['西红柿 4个'],"['白糖 适量', '盐 适量']"
肉松贝果,烘焙,咸鲜味,30分钟,初级入门,"['小麦面粉 250克', '白糖 8克', '盐 3克', '水 145克', '苏打粉 2克', '黄油 10克']","['水 700毫升', '红糖 5克', '白糖 10克']"
荠菜水饺,煮,家常味,15分钟,初级入门,"['菠菜 300克', '韭菜 100克', '猪肉 250克', '大葱 20克', '生姜 8克', '蚝油 2大勺', '酱油 2大勺', '花生油 2大勺']",['盐 适量']
白糖醋荷包蛋,煎,酸甜味,5分钟,初级入门,['鸡蛋 3个'],"['料酒 1汤匙', '白糖 3汤匙', '酱油 2汤匙', '醋 4汤匙', '水 5汤匙', '盐 适量']"
香辣黑木耳炒猪肉,炒,香辣味,10分钟,中级掌勺,"['黑木耳 20克', '猪肉 300克', '辣椒 1个', '大蒜 100克']","['花生油 5毫升', '盐 4克', '料酒 1毫升', '酱油 3毫升', '生姜 3克']"
腊肉香菇菠菜,炒,家常味,30分钟,未知,"['腊肉 一条', '菠菜 一斤']","['生姜 适量', '花生油 适量', '料酒 适量', '酱油 适量', '盐 适量', '鸡精 适量']"
回锅肉炒胡萝卜,炒,家常味,10分钟,初级入门,"['猪肉 200克', '胡萝卜 3根']","['花生油 1汤匙', '盐 适量', '豆瓣酱 适量', '干辣椒 适量', '花椒 适量', '蒜苗 2根', '料酒 少许']"
牛肉四季豆焖面,煮,其它口味,15分钟,新手尝试,"['牛肉 30克', '胡萝卜 10朵', '刀豆 40克', '面条 40克']",['生姜 一片']
清蒸黄花鱼,蒸,咸鲜味,15分钟,新手尝试,"['黄花鱼 1条', '生姜 15克', '大葱 30克']","['鱼肝油 2汤匙', '花生油 1汤匙']"
清蒸黄鱼,蒸,家常味,10分钟,未知,['黄鱼 1条'],"['生姜 适量', '大葱 适量', '胡椒粉 少许', '酱油 适量', '花生油 适量', '亚麻籽油 少许']"
肥而不腻的无油红烧肉,炖,家常味,60分钟,初中水平,['猪肉 350克'],"['生姜 6片', '八角 1个', '桂皮 1段', '香叶 2片', '酱油 2勺', '酱油 1/2勺', '蚝油 3勺', '白糖 1勺', '水 2勺']"
白糖醋三文鱼丁,炒,酸甜味,30分钟,未知,['三文鱼 180克'],"['醋 2大勺', '白糖 2大勺', '盐 2克', '花生油 适量', '胡椒粉 2克', '大葱 适量']"
红烧带鱼,烧,咸鲜味,30分钟,未知,['带鱼 2根'],"['小麦面粉 1勺', '大蒜 2粒', '生姜 1块', '大葱 3根', '花生油 2勺', '料酒 1勺', '酱油 2勺', '酱油 1/2勺']"
上汤娃娃菜,煮,咸鲜味,10分钟,未知,"['娃娃菜 适量', '鸡肉 一碗', '香肠 一根', '松花蛋 一个']","['生姜 3片', '蛋黄 一个']"
鲜香卤鸡胗,煮,家常味,60分钟,未知,"['鸡胗 500克', '酱油 2勺', '生姜 5片', '八角 1个', '香叶 3片', '盐 1勺', '料酒 1勺', '酱油 1勺', '大葱 2段']","['冰糖 适量', '水 适量']"
流汁麻酱粉条,拌,香辣味,5分钟,未知,['粉条 300克'],"['大蒜 一勺', '亚麻籽油 半勺', '盐 一匙', '牛肉 一匙', '芝麻酱 一勺', '辣椒 一勺', '大葱 一勺', '辣椒粉 一勺', '香菜 一勺', '芝麻 一勺', '花椒 半勺', '花生油 三勺', '酱油 一勺', '蚝油 一勺']"
南瓜奶酪牛肉饼,煎,家常味,10分钟,新手尝试,"['牛肉 140克', '奶酪 2片', '南瓜 70克', '水 30克', '小麦面粉 5克']",[]
新奥尔良龙利鱼块,炸,家常味,30分钟,新手尝试,['龙利鱼 170克'],"['水 11克', '面包 200克', '淀粉 150克', '鸡蛋 30克']"
泡菜毛豆,烧,咸鲜味,30分钟,未知,"['毛豆 250克', '泡菜 半包']","['大蒜 少许', '花生油 适量', '料酒 适量', '酱油 适量']"
芦笋牛肉条配面条,炒,咸鲜味,15分钟,未知,['面条 两个人1/3袋'],"['牛肉 200克', '芦笋 5根', '大葱 1/3个', '黄油 适量', '淀粉 适量用于腌制牛肉', '酱油 适量', '豆瓣酱 1/2瓶']"
凉拌松花蛋,拌,家常味,10分钟,未知,"['松花蛋 3个', '黄瓜 1根', '青椒 适量', '花生油 适量']","['盐 适量', '花椒 少量', '大蒜 适量', '生姜 适量', '酱油 适量', '醋 适量']"
咸鱼白萝卜,蒸,家常味,15分钟,新手尝试,"['咸鱼 300克', '白萝卜 200克']","['蚝油 1茶匙', '盐 2克', '白糖 2克', '生姜 适量', '大葱 适量']"
广东炒斋河,炒,家常味,5分钟,新手尝试,['粉条 700克'],"['黄豆芽 200克', '大蒜 两瓣', '大葱 两根', '盐 一茶匙', '酱油 一汤匙', '蚝油 一茶匙']"
咖喱鸡肉饭,炒,香辣味,10分钟,初级入门,"['大米 100克', '土豆 1个', '鸡腿 150克']","['大葱 5克', '咖喱 15克', '大蒜 5克', '盐 2克', '花生油 10克', '料酒 10克', '蚝油 10克', '胡椒粉 0.5克']"
台式卤肉饭,炖,甜味,60分钟,未知,"['猪肉 500克', '大葱 50克', '香菇 100克']","['酱油 20毫升', '酱油 20毫升', '冰糖 30克', '花生油 50克']"
大葱炒蛋,炒,咸鲜味,10分钟,未知,"['大葱 1/3个', '鸡蛋 2个']","['大葱 2根', '花生油 1.5勺', '白糖 1/2匙', '盐 1/2匙', '鱼肝油 1勺']"
减肥最爱吃的龙利鱼烤南瓜,烤,香辣味,30分钟,未知,"['龙利鱼 一条', '南瓜 半个', '西兰花 适量']",[]
凉拌花甲粉,拌,酸辣味,10分钟,新手尝试,"['文蛤 2斤', '粉丝 1份']","['大葱 少量', '大葱 适量', '大蒜 适量', '辣椒 3-4个', '柠檬 1个', '香菜 适量', '蚝油 一大勺', '鱼露 一大勺（没有可不加）', '盐 半勺', '酱油 3大勺', '白糖 一大勺']"
肉松手撕包,烤,其它口味,60分钟,初中水平,"['小麦面粉 360克', '鸡蛋 54克', '苏打粉 4克', '白糖 45克', '牛奶 234克', '黄油 40克', '盐 4克']",['番茄酱 适量']
黑椒鸡扒,煎,黑椒味,15分钟,未知,"['鸡腿 3个', '蚝油 适量', '料酒 适量', '盐 适量', '淀粉 适量', '胡椒 适量']",['水 适量']
大蒜蓉粉丝香菇酿,蒸,大蒜香味,30分钟,初级入门,"['香菇 适量', '粉丝 适量']","['大蒜 适量', '鸡精 适量', '酱油 适量', '酱油 适量', '蚝油 适量', '盐 适量', '大葱 适量', '辣椒 适量']"
金枪鱼蔬菜沙拉,其它工艺,家常味,15分钟,新手尝试,"['金枪鱼 1盒', '生菜 3片', '紫甘蓝 2片', '黄瓜 1根', '辣椒 红黄各半个', '番茄酱 适量']",[]
宝宝辅食 营养丰富的南瓜泥,蒸,家常味,30分钟,未知,['南瓜 100克'],['水 适量']
油金饺,煎,家常味,15分钟,初级入门,"['小麦面粉 200克', '水 100克', '苏打粉 2克']","['花生油 1勺', '盐 1小勺', '豇豆 1把', '猪肉 200克', '酱油 1大勺', '料酒 1大勺']"
什锦榨菜小炒,炒,家常味,15分钟,初级入门,"['茭白 2个', '榨菜 80克', '胡萝卜 半个', '猪肉 200克']","['大葱 适量', '盐 半茶匙', '白糖 少许', '酱油 1茶匙', '料酒 2茶匙']"
家常豆腐脑儿,煮,家常味,30分钟,中级掌勺,"['黄豆 150克', '水 1500克']","['盐 1克', '酱油 2克', '紫菜 少许', '虾皮 1勺', '大葱 1勺', '亚麻籽油 1勺']"
茄汁拌茄子,拌,茄汁味,10分钟,初级入门,"['茄子 2条', '虾米 1汤匙']","['猪油 少许', '亚麻籽油 少许', '白糖 少许', '番茄酱 3汤匙', '盐 2克', '鸡蛋 少许', '酱油 少许', '生姜 4片', '大蒜 4瓣', '淀粉 适量']"
拌黄瓜,拌,香辣味,30分钟,新手尝试,['黄瓜 2根'],"['亚麻籽油 1勺', '干辣椒 5个', '辣椒油 适量', '大蒜 2瓣', '醋 2毫升', '酱油 适量']"
味道鲜美烧萝卜,烧,咸鲜味,30分钟,未知,['白萝卜 300克'],"['花生油 适量', '盐 适量']"
蛋黄煮鸡翅,煮,家常味,30分钟,未知,['鸡翅 适量'],['鸡蛋 两个']
凉拌腱子肉,拌,咸鲜味,30分钟,初级入门,['猪肉 600克'],"['花生油 2汤匙', '盐 1茶匙', '生姜 1小块', '大蒜 3瓣', '香菜 1棵', '花椒 1小把', '大葱 2棵', '鱼肝油 2茶匙', '亚麻籽油 1茶匙', '蚝油 2茶匙', '辣椒 适量', '白糖 1/2茶匙']"
椒盐烤虾,烤,香辣味,90分钟,未知,"['河虾 8个', '椒盐 1匙']","['盐 2匙', '辣椒油 3匙']"
羊肉炖萝卜,炖,家常味,60分钟,初级入门,"['羊肉 400克', '白萝卜 200克']","['辣椒 10克', '大葱 5克', '花椒 2克', '生姜 2克', '八角 1个', '料酒 10毫升', '酱油 8毫升', '酱油 4毫升', '白糖 3克', '花生油 适量']"
家常素炒面,炒,家常味,30分钟,新手尝试,"['面条 1袋', '青椒 半个', '胡萝卜 半个', '黄瓜 半个', '西红柿 1个', '大葱 半个', '鸡蛋 2颗']","['盐 少许', '蚝油 适量', '酱油 适量', '花生油 适量']"
凉拌大蒜,拌,家常味,30分钟,未知,"['大蒜 250克', '黑木耳 适量', '胡萝卜 半根']","['大蒜 三四瓣', '盐 适量', '酱油 适量', '醋 适量', '鸡精 适量', '花生油 适量', '亚麻籽油 适量', '花生 适量']"
菜花炒香肠,炒,家常味,15分钟,初级入门,"['菜花 500克', '香肠 4根', '辣椒 1个']","['盐 2茶匙', '亚麻籽油 1瓷羹']"
腐竹烧肉,烧,家常味,60分钟,未知,"['猪肉 500克', '腐竹 400克']","['生姜 小块', '八角 两个', '酱油 适量', '酱油 适量', '水 适量', '鸡精 适量']"
金针菇卷,煎,咸鲜味,30分钟,未知,"['豆腐 3张', '金针菇 200克']","['辣椒 1个', '辣椒 1个', '鸡精 1勺', '盐 1勺', '辣椒粉 1捏', '孜然 1捏', '大葱 1段', '醋 1勺', '酱油 1勺']"
奥尔良烤鸡翅,烤,香辣味,30分钟,未知,['鸡翅 一袋'],"['料酒 适量', '大葱 适量', '生姜 适量', '大蒜 适量', '蜂蜜 适量', '花生油 适量']"
咖喱牛肉饭,炖,咖喱味,60分钟,未知,"['牛肉 500克', '大葱 半个', '胡萝卜 一根', '土豆 一个']","['咖喱 4块', '生姜 少许', '大葱 少许']"
凉拌苦瓜,拌,家常味,5分钟,新手尝试,"['苦瓜 1根', '红椒 半个']","['大蒜 10克', '大葱 5克', '盐 2克', '酱油 15克', '醋 10克', '亚麻籽油 5克', '白糖 4克']"
莲藕猪肉,炒,家常味,15分钟,中级掌勺,"['莲藕 450克', '猪肉 120克', '芹菜 12克', '辣椒 35克']","['花生油 150克', '盐 3克', '豆瓣酱 8克', '淀粉 3克', '花椒 0.5克']"
香酥鸡米花,烤,其它口味,15分钟,初级入门,"['鸡腿 2个', '鸡蛋 1个', '小麦面粉 半碗', '面包 1碗']","['盐 2克', '生姜 1克', '胡椒粉 1克', '花生油 2茶匙', '白糖 2克', '淀粉 0.5茶匙']"
荞麦面,煮,家常味,30分钟,初中水平,['荞麦面 200克'],"['水 170毫升', '面条 适量']"
凉拌豆腐皮,拌,家常味,10分钟,新手尝试,"['豆腐皮 3张', '大葱 1根', '香菜 2根', '醋 醋', '酱油 2匙']",[]
