菜名,工艺,口味,时间,难度,主料,辅料
炒粉丝,炒,家常味,15分钟,新手尝试,"['油菜 50克', '香菇 1个', '辣椒 10克', '粉丝 100克', '鸡蛋 1个']","['辣椒酱 10克', '酱油 3克', '蚝油 5克', '鸡精 5克', '盐 2克']"
鲫鱼蒸蛋羹,蒸,家常味,15分钟,初中水平,"['鲫鱼 310克', '鸡蛋 55克', '韭菜 50克']","['花生油 5克', '盐 1.5克', '水 50克']"
香烤蜜汁叉烧肉,烧,甜味,60分钟,初级入门,"['猪肉 一大块', '辣椒酱 3大勺']","['生姜 一块', '葱白 几根', '大蒜 几个', '蜂蜜 两勺', '料酒 一勺', '酱油 一勺']"
猪肉火腿,蒸,家常味,15分钟,未知,"['猪肉 适量', '羊肝 小节']","['盐 适量', '花生油 适量', '酱油 适量', '淀粉 适量', '米粉 适量']"
红烧鸡腿,烧,咸鲜味,10分钟,初级入门,['鸡腿 9根'],"['大蒜 10克', '酱油 2汤勺', '酱油 3汤勺', '盐 5克', '鸡精 3克', '水 1碗', '花生油 20克', '大葱 10克', '生姜 10克']"
家常口水鸡,煮,香辣味,30分钟,新手尝试,['田鸡 一只'],"['花生油 35毫升', '料酒 25毫升', '花生 20克', '香菜 少许', '生姜 少许', '小葱 少许', '辣椒油 1汤匙', '酱油 2汤匙', '大蒜 10克', '猪油 少许']"
乌梅扣肉,蒸,家常味,90分钟,初级入门,"['猪肉 250克', '乌梅 1袋']","['八角 3颗', '酱油 10-20毫升', '酱油 10毫升', '鸡精 1小勺', '白糖 1小勺', '料酒 10毫升', '水 适量', '小葱 1根', '香菜 1根']"
粉丝蒸娃娃菜,蒸,咸鲜味,15分钟,初级入门,"['娃娃菜 2颗', '粉丝 100克', '辣椒 20克', '大蒜 25克', '小葱 1根']","['花生油 适量', '盐 1茶匙', '白糖 1茶匙', '蚝油 1茶匙', '酱油 1茶匙']"
冷面,煮,咸鲜味,5分钟,新手尝试,"['荞麦面 150克', '鸡蛋 1个', '黄瓜 60克']","['盐 适量（根据自己的口味添加）', '辣椒酱 1大勺', '白糖 25克', '水 200克', '酱油 20毫升', '大蒜 5克', '苹果醋 50毫升', '芝麻 2克']"
腊味煲仔饭,煲,咸鲜味,30分钟,中级掌勺,"['紫米 150克', '腊肉 1小块', '火腿 1根']","['西兰花 1小朵', '花生油 2勺']"
